new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,mx,txt
,support.staging.synack.com,"104.16.53.111, 104.16.51.111",,synack1491495318.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,,,,mail-pod-19.int.zendesk.com,"pod=19, v=spf1 include:mail.zendesk.com ~all"
,support.synack.com,"104.16.53.111, 104.16.51.111",,synack.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,,,,mail-pod-19.int.zendesk.com,"pod=19, v=spf1 include:mail.zendesk.com ~all"
,synack-app.synack.com,"52.216.140.174, 52.217.93.238, 52.217.0.238, 52.216.216.40, 54.231.129.48, 54.231.232.0, 54.231.235.232, 52.216.136.61, 205.251.192.63, 205.251.195.3, 205.251.197.20, 205.251.198.43",,s3.amazonaws.com,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,"ns-771.awsdns-32.net, ns-63.awsdns-07.com, ns-1579.awsdns-05.co.uk, ns-1300.awsdns-34.org",,7703efd3bf07ae13a5fb88055d75ed49
,synack.com,"141.193.213.20, 141.193.213.21",,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,"ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com","mailstream-east.mxrecord.io, mailstream-west.mxrecord.io","slack-domain-verification=B9ho3v6doGRvqeIby0mIwUdKXeZkyTJVBPu0US1i, v=spf1 ip4:40.92.0.0/15 ip4:207.67.38.45 ip4:51.4.80.0/27 ip4:51.4.72.0/24 ip4:64.18.0.0/20 ip4:51.5.80.0/27 ip4:51.5.72.0/24 ip4:198.245.81.1 ip4:20.47.149.138 ip4:68.232.207.20 ip4:149.72.0.0/16 ip4:66.102.0.0/20 ip4:198.21.0.0/21 ip4:104.47.0.0/17 ip4:, 72.3.185.0/24 ip4:74.125.0.0/16 ip4:52.100.0.0/14 ip4:50.31.32.0/19 ip4:40.107.0.0/16 ip4:37.188.97.188 ip4:35.191.0.0/16 ip4:107.23.16.222 include:_spf0000000.synack.com ~all, hubspot-domain-verification=NDNhZmZlMWItZjQ1Ny00Njc1LWFmOGEtNzgyZjA4NTZkYzQw"
,tradeshow.synack.com,"199.60.103.2, 199.60.103.254","2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","22524429.group29.sites.hubspot.net, group29.sites.hscoscdn20.net","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,
,viper-e.ks-demo.synack.com,34.117.234.201,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper-e.ks-dev1.synack.com,34.120.149.224,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper-e.ks-fedprod.synack.com,35.227.242.4,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper-e.ks-prod.synack.com,34.120.230.141,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper-e.ks-qa.synack.com,34.149.252.222,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper-e.ks-staging.synack.com,35.201.125.154,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,viper.ks-demo.synack.com,10.145.0.9,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.145.0.9,,,
,viper.ks-dev1.synack.com,10.129.0.73,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.129.0.73,,,
,viper.ks-fedprod.synack.com,10.193.0.48,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.193.0.48,,,
,viper.ks-prod.synack.com,10.225.0.9,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.225.0.9,,,
,viper.ks-qa.synack.com,10.161.0.80,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.161.0.80,,,
,viper.ks-staging.synack.com,10.177.0.12,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.177.0.12,,,
,wa-prod.synack.com,,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,"ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com",,
,webinar.synack.com,"199.60.103.254, 199.60.103.2","2606:2c40::c73c:67fe, 2606:2c40::c73c:6702","22524429.group29.sites.hubspot.net, group29.sites.hscoscdn20.net","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,
,workflows.ha-dev.synack.com,34.111.196.204,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,workflows.ha-fedprod.synack.com,35.244.218.157,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,workflows.ha-prod.synack.com,34.120.6.218,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,workflows.ha-qa.synack.com,,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,workflows.ha-staging.synack.com,34.117.61.105,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,www.synack.com,"141.193.213.20, 141.193.213.21",,yzqmcmz9c6zl.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,
,yellowbeam.ks-demo.synack.com,34.96.92.228,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,yellowbeam.ks-fedprod.synack.com,35.201.95.111,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,yellowbeam.ks-prod.synack.com,34.149.54.164,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,yellowbeam.ks-staging.synack.com,35.244.149.171,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
